Alfred Lunt, The Actor, The Guardsman
Gloria Swanson, Norma Desmond, Sunset Boulevard
Vivien Leigh, Blanche DuBois, A Streetcar Named Desire
Katharine Hepburn, Rose Sayer, The African Queen
Eleanor Parker, Mary McLeod, Detective Story
Shelley Winters, Alice Tripp, A Place in the Sun
Jane Wyman, Louise Mason, The Blue Veil
Shirley Booth, Lola Delaney, Come Back, Little Sheba
Joan Crawford, Myra Hudson, Sudden Fear
Bette Davis, Margaret Elliot, The Star
Julie Harris, Frances "Frankie" Addams, The Member of the Wedding
Susan Hayward, Jane Froman, With a Song in My Heart
Audrey Hepburn, Princess Ann, Roman Holiday
Leslie Caron, Lili Daurier, Lili
Ava Gardner, Eloise "Honey Bear" Kelly, Mogambo
Deborah Kerr, Karen Holmes, From Here to Eternity
Maggie McNamara, Patty O'Neill, The Moon Is Blue
Grace Kelly, Georgie Elgin, The Country Girl
Dorothy Dandridge, Carmen Jones, Carmen Jones
Judy Garland, Esther Victoria Blodgett / Vicki Lester, A Star Is Born
Audrey Hepburn, Sabrina Fairchild, Sabrina
Jane Wyman, Helen Phillips, Magnificent Obsession
Anna Magnani, Serafina Delle Rose, The Rose Tattoo
Susan Hayward, Lillian Roth, I'll Cry Tomorrow
Katharine Hepburn, Jane Hudson, Summertime
Jennifer Jones, Han Suyin, Love is a Many-Splendored Thing
Eleanor Parker, Marjorie Lawrence, Interrupted Melody
Ingrid Bergman, Anna Koreff / Anastasia, Anastasia
Carroll Baker, Baby Doll Meighan, Baby Doll
Katharine Hepburn, Lizzie Curry, The Rainmaker
Nancy Kelly, Christine Penmark, The Bad Seed
Deborah Kerr, Anna Leonowens, The King and I
Joanne Woodward, Eve White / Eve Black / Jane, The Three Faces of Eve
Deborah Kerr, Angela, Heaven Knows, Mr. Allison
Anna Magnani, Gioia, Wild Is the Wind
Elizabeth Taylor, Susanna Drake, Raintree County
Lana Turner, Constance MacKenzie, Peyton Place
Susan Hayward, Barbara Graham, I Want to Live!
Deborah Kerr, Sibyl Railton-Bell, Separate Tables
Shirley MacLaine, Ginnie Moorehead, Some Came Running
Rosalind Russell, Mame Dennis, Auntie Mame
Elizabeth Taylor, Margaret "Maggie the Cat" Pollitt, Cat on a Hot Tin Roof
Simone Signoret, Alice Aisgill, Room at the Top
Doris Day, Jan Morrow, Pillow Talk
Audrey Hepburn, Gabrielle van der Mal, The Nun's Story
Katharine Hepburn, Violet Venable, Suddenly, Last Summer
Elizabeth Taylor, Catherine Holly, Suddenly, Last Summer
Elizabeth Taylor, Gloria Wandrous, BUtterfield 8
Greer Garson, Eleanor Roosevelt, Sunrise at Campobello
Deborah Kerr, Ida Carmody, The Sundowners
Shirley MacLaine, Fran Kubelik, The Apartment
Melina Mercouri, Ilya, Never on Sunday
Sophia Loren, Cesira, Two Women
Audrey Hepburn, Holly Golightly / Lula Mae Barnes, Breakfast at Tiffany's
Piper Laurie, Sarah Packard, The Hustler
Geraldine Page, Alma Winemiller, Summer and Smoke
Natalie Wood, Wilma Dean "Deanie" Loomis, Splendor in the Grass
Anne Bancroft, Annie Sullivan, The Miracle Worker
Bette Davis, Baby Jane Hudson, What Ever Happened to Baby Jane?
Katharine Hepburn, Mary Cavan Tyrone, Long Day's Journey into Night
Geraldine Page, Alexandra Del Lago, Sweet Bird of Youth
Lee Remick, Kirsten Arnesen Clay, Days of Wine and Roses
Patricia Neal, Alma Brown, Hud
Leslie Caron, Jane Fossett, The L-Shaped Room
Shirley MacLaine, Irma La Douce, Irma la Douce
Rachel Roberts, Margaret Hammond, This Sporting Life
Natalie Wood, Angie Rossini, Love with the Proper Stranger
Julie Andrews, Mary Poppins, Mary Poppins
Anne Bancroft, Jo Armitage, The Pumpkin Eater
Sophia Loren, Filumena Marturano, Marriage Italian Style
Debbie Reynolds, Molly Brown, The Unsinkable Molly Brown
Kim Stanley, Myra Savage, Seance on a Wet Afternoon
Julie Christie, Diana Scott, Darling
Julie Andrews, Maria von Trapp, The Sound of Music
Samantha Eggar, Miranda Grey, The Collector
Elizabeth Hartman, Selina D'Arcy, A Patch of Blue
Simone Signoret, La Contessa, Ship of Fools
Elizabeth Taylor, Martha, Who's Afraid of Virginia Woolf?
Anouk Aimée, Anne Gauthier, A Man and a Woman
Ida Kamińska, Rozalie Lautmann, The Shop on Main Street
Lynn Redgrave, Georgina "Georgy" Parkin, Georgy Girl
Vanessa Redgrave, Leonie Delt, Morgan!
Katharine Hepburn, Christina Drayton, Guess Who's Coming to Dinner
Anne Bancroft, Mrs. Robinson, The Graduate
Faye Dunaway, Bonnie Parker, Bonnie and Clyde
Edith Evans, Maggie Ross, The Whisperers
Audrey Hepburn, Susy Hendrix, Wait Until Dark
Katharine Hepburn  (TIE) [C], Eleanor of Aquitaine, The Lion in Winter
Barbra Streisand  (TIE) [C], Fanny Brice, Funny Girl
Patricia Neal, Nettie Cleary, The Subject was Roses
Vanessa Redgrave, Isadora Duncan, Isadora
Joanne Woodward, Rachel Cameron, Rachel, Rachel
Maggie Smith, Jean Brodie, The Prime of Miss Jean Brodie
Geneva ve Bujold, Anne Boleyn, Anne of the Thousand Days
Jane Fonda, Gloria Beatty, They Shoot Horses, Don't They?
Liza Minnelli, Mary Ann "Pookie" Adams, The Sterile Cuckoo
Jean Simmons, Mary Wilson, The Happy Ending
Glenda Jackson, Gudrun Brangwen, Women in Love
Jane Alexander, Eleanor Backman, The Great White Hope
Ali MacGraw, Jennifer Cavalleri-Barrett, Love Story
Sarah Miles, Rosy Ryan, Ryan's Daughter
Carrie Snodgress, Bettina "Tina" Balser, Diary of a Mad Housewife
Jane Fonda, Bree Daniels, Klute
Julie Christie, Constance Miller, McCabe & Mrs. Miller
Glenda Jackson, Alex Greville, Sunday Bloody Sunday
Vanessa Redgrave, Mary, Queen of Scots, Mary, Queen of Scots
Janet Suzman, Empress Alexandra of Russia, Nicholas and Alexandra
Liza Minnelli, Sally Bowles, Cabaret
Diana Ross, Billie Holiday, Lady Sings the Blues
Maggie Smith, Augusta Bertram, Travels with My Aunt
Cicely Tyson, Rebecca Morgan, Sounder
Liv Ullmann, Kristina Nilsson, The Emigrants
Glenda Jackson, Vickie Allessio, A Touch of Class
Ellen Burstyn, Chris MacNeil, The Exorcist
Marsha Mason, Maggie Paul, Cinderella Liberty
Barbra Streisand, Katie Morosky, The Way We Were
Joanne Woodward, Rita Walden, Summer Wishes, Winter Dreams
Ellen Burstyn, Alice Graham-Hyatt, Alice Doesn't Live Here Anymore
Diahann Carroll, Claudine Price, Claudine
Faye Dunaway, Evelyn Cross Mulwray, Chinatown
Valerie Perrine, Harriett Jolliff / Honey Bruce, Lenny
Gena Rowlands, Mabel Longhetti, A Woman Under the Influence
Louise Fletcher, Nurse Mildred Ratched, One Flew Over the Cuckoo's Nest
Ann-Margret, Nora Walker, Tommy
Glenda Jackson, Hedda Gabler-Tesman, Hedda
Carol Kane, Gitl, Hester Street
Faye Dunaway, Diana Christensen, Network
Marie-Christine Barrault, Marthe, Cousin Cousine
Talia Shire, Adrian Pennino, Rocky
Sissy Spacek, Carrie White, Carrie
Liv Ullmann, Jenny Isaksson, Face to Face
Diane Keaton, Annie Hall, Annie Hall
Anne Bancroft, Emma Jacklin, The Turning Point
Jane Fonda, Lillian Hellman, Julia
Shirley MacLaine, Deedee Rodgers, The Turning Point
Marsha Mason, Paula McFadden, The Goodbye Girl
Jane Fonda, Sally Hyde, Coming Home
Ingrid Bergman, Charlotte Andergast, Autumn Sonata
Ellen Burstyn, Doris, Same Time, Next Year
Jill Clayburgh, Erica Benton, An Unmarried Woman
Geraldine Page, Eve, Interiors
Sally Field, Norma Rae Webster, Norma Rae
Jill Clayburgh, Marilyn Holmberg, Starting Over
Jane Fonda, Kimberly Wells, The China Syndrome
Marsha Mason, Jennie MacLaine, Chapter Two
Bette Midler, Mary Rose Foster, The Rose
Sissy Spacek, Loretta Lynn, Coal Miner's Daughter
Ellen Burstyn, Edna Mae Harper-McCauley, Resurrection
Goldie Hawn, Judy Benjamin, Private Benjamin
Mary Tyler Moore, Beth Jarrett, Ordinary People
Gena Rowlands, Gloria Swenson, Gloria
Katharine Hepburn, Ethel Thayer, On Golden Pond
Diane Keaton, Louise Bryant, Reds
Marsha Mason, Georgia Hines, Only When I Laugh
Susan Sarandon, Sally Matthews, Atlantic City
Meryl Streep, Anna / Sara Woodruff, The French Lieutenant's Woman
Meryl Streep, Sophie Zawistowski, Sophie's Choice
Julie Andrews, Victor Grazinski / Victoria Grant, Victor/Victoria
Jessica Lange, Frances Farmer, Frances
Sissy Spacek, Beth Horman, Missing
Debra Winger, Paula Pokrifki, An Officer and a Gentleman
Shirley MacLaine, Aurora Greenway, Terms of Endearment
Jane Alexander, Carol Wetherly, Testament
Meryl Streep, Karen Silkwood, Silkwood
Julie Walters, Susan White / Rita, Educating Rita
Debra Winger, Emma Greenway Horton, Terms of Endearment
Sally Field, Edna Spalding, Places in the Heart
Judy Davis, Adela Quested, A Passage to India
Jessica Lange, Jewell Ivy, Country
Vanessa Redgrave, Olive Chancellor, The Bostonians
Sissy Spacek, Mae Garvey, The River
Geraldine Page, Carrie Watts, The Trip to Bountiful
Anne Bancroft, Miriam Ruth / Anna Maria Burchetti, Agnes of God
Whoopi Goldberg, Celie Harris-Johnson, The Color Purple
Jessica Lange, Patsy Cline, Sweet Dreams
Meryl Streep, Karen Blixen, Out of Africa
Marlee Matlin, Sarah Norman, Children of a Lesser God
Jane Fonda, Alex Sternbergen / Viveca Van Loren, The Morning After
Sissy Spacek, Babe Botrelle / Rebecca MaGrath, Crimes of the Heart
Kathleen Turner, Peggy Sue Kelcher-Bodell, Peggy Sue Got Married
Sigourney Weaver, Ellen Ripley, Aliens
Cher, Loretta Castorini, Moonstruck
Glenn Close, Alex Forrest, Fatal Attraction
Holly Hunter, Jane Craig, Broadcast News
Sally Kirkland, Anna, Anna
Meryl Streep, Helen Archer, Ironweed
Jodie Foster, Sarah Tobias, The Accused
Glenn Close, Marquise Isabelle de Merteuil, Dangerous Liaisons
Melanie Griffith, Tess McGill, Working Girl
Meryl Streep, Lindy Chamberlain, A Cry in the Dark
Sigourney Weaver, Dian Fossey, Gorillas in the Mist
Jessica Tandy, Daisy Werthan, Driving Miss Daisy
Isabelle Adjani, Camille Claudel, Camille Claudel
Pauline Collins, Shirley Valentine-Bradshaw, Shirley Valentine
Jessica Lange, Ann Talbot, Music Box
Michelle Pfeiffer, Susie Diamond, The Fabulous Baker Boys
Kathy Bates, Annie Wilkes, Misery
Anjelica Huston, Lilly Dillon, The Grifters
Julia Roberts, Vivian Ward, Pretty Woman
Meryl Streep, Suzanne Vale, Postcards from the Edge
Joanne Woodward, India Bridge, Mr. & Mrs. Bridge
Jodie Foster, Clarice Starling, The Silence of the Lambs
Geena Davis, Thelma Dickinson, Thelma & Louise
Laura Dern, Rose, Rambling Rose
Bette Midler, Dixie Leonard, For the Boys
Susan Sarandon, Louise Sawyer, Thelma & Louise
Emma Thompson, Margaret Schlegel, Howards End
Catherine Deneuve, Eliane Devries, Indochine
Mary McDonnell, May-Alice Culhane, Passion Fish
Michelle Pfeiffer, Louise Irene "Lurene" Hallett, Love Field
Susan Sarandon, Michaela Murphy Odone, Lorenzo's Oil
Holly Hunter, Ada McGrath, The Piano
Angela Bassett, Anna Mae Bullock / Tina Turner, What's Love Got to Do with It
Stockard Channing, Louisa "Ouisa" Kittredge, Six Degrees of Separation
Emma Thompson, Sarah "Sally" Kenton, The Remains of the Day
Debra Winger, Joy Davidman, Shadowlands
Jessica Lange, Carly Marshall, Blue Sky
Jodie Foster, Nell Kellty, Nell
Miranda Richardson, Vivienne Haigh-Wood, Tom & Viv
Winona Ryder, Josephine "Jo" March, Little Women
Susan Sarandon, Regina "Reggie" Love, The Client
Susan Sarandon, Helen Prejean, Dead Man Walking
Elisabeth Shue, Sera, Leaving Las Vegas
Sharon Stone, Ginger McKenna, Casino
Meryl Streep, Francesca Johnson, The Bridges of Madison County
Emma Thompson, Elinor Dashwood, Sense and Sensibility
Frances McDormand, Marge Gunderson, Fargo
Brenda Blethyn, Cynthia Rose Purley, Secrets & Lies
Diane Keaton, Bessie Wakefield, Marvin's Room
Kristin Scott Thomas, Katharine Clifton, The English Patient
Emily Watson, Bess McNeill, Breaking the Waves
Helen Hunt, Carol Connelly, As Good as It Gets
Helena Bonham Carter, Kate Croy, The Wings of the Dove
Julie Christie, Phyllis Hart, Afterglow
Judi Dench, Queen Victoria, Mrs Brown
Kate Winslet, Rose DeWitt Bukater, Titanic
Gwyneth Paltrow, Viola de Lesseps / Thomas Kent, Shakespeare in Love
Cate Blanchett, Queen Elizabeth I, Elizabeth
Fernanda Montenegro, Isadora "Dora" Teixeira, Central Station
Meryl Streep, Kate Gulden, One True Thing
Emily Watson, Jacqueline du Pré, Hilary and Jackie
Hilary Swank, Brandon Teena, Boys Don't Cry
Annette Bening, Carolyn Burnham, American Beauty
Janet McTeer, Mary Jo Walker, Tumbleweeds
Julianne Moore, Sarah Miles, The End of the Affair
Meryl Streep, Roberta Guaspari, Music of the Heart
Julia Roberts, Erin Brockovich, Erin Brockovich
Joan Allen, Laine Hanson, The Contender
Juliette Binoche, Vianne Rocher, Chocolat
Ellen Burstyn, Sara Goldfarb, Requiem for a Dream
Laura Linney, Samantha "Sammy" Prescott, You Can Count On Me
Halle Berry, Leticia Musgrove, Monster's Ball
Judi Dench, Iris Murdoch, Iris
Nicole Kidman, Satine, Moulin Rouge!
Sissy Spacek, Ruth Fowler, In the Bedroom
Renee Zellweger, Bridget Jones, Bridget Jones's Diary
Nicole Kidman, Virginia Woolf, The Hours
Salma Hayek, Frida Kahlo, Frida
Diane Lane, Constance "Connie" Sumner, Unfaithful
Julianne Moore, Cathy Whitaker, Far from Heaven
Renee Zellweger, Roxie Hart, Chicago
Charlize Theron, Aileen Wuornos, Monster
Keisha Castle-Hughes, Paikea Apirana, Whale Rider
Diane Keaton, Erica Jane Berry, Something's Gotta Give
Samantha Morton, Sarah Sullivan, In America
Naomi Watts, Cristina Williams-Peck, 21 Grams
Hilary Swank, Maggie Fitzgerald, Million Dollar Baby
Annette Bening, Julia Lambert, Being Julia
Catalina Sandino Moreno, María Álvarez, Maria Full of Grace
Imelda Staunton, Vera Rose Drake, Vera Drake
Kate Winslet, Clementine Kruczynski, Eternal Sunshine of the Spotless Mind
Reese Witherspoon, June Carter Cash, Walk the Line
Judi Dench, Laura Forster-Henderson, Mrs Henderson Presents
Felicity Huffman, Sabrina "Bree" Osbourne, Transamerica
Keira Knightley, Elizabeth Bennet, Pride & Prejudice
Charlize Theron, Josey Aimes, North Country
Helen Mirren, Queen Elizabeth II, The Queen
Penelope Cruz, Raimunda, Volver
Judi Dench, Barbara Covett, Notes on a Scandal
Meryl Streep, Miranda Priestly, The Devil Wears Prada
Kate Winslet, Sarah Pierce, Little Children
Marion Cotillard, Édith Piaf, La Vie en Rose
Cate Blanchett, Queen Elizabeth I, Elizabeth: The Golden Age
Julie Christie, Fiona Anderson, Away from Her
Laura Linney, Wendy Savage, The Savages
Ellen Page, Juno MacGuff, Juno
Kate Winslet, Hanna Schmitz, The Reader
Anne Hathaway, Kym Buchman, Rachel Getting Married
Angelina Jolie, Christine Collins, Changeling
Melissa Leo, Ray Eddy, Frozen River
Meryl Streep, Aloysius Beauvier, Doubt
Sandra Bullock, Leigh Anne Tuohy, The Blind Side
Helen Mirren, Sophia Tolstaya, The Last Station
Carey Mulligan, Jenny Mellor, An Education
Gabourey Sidibe, Claireece "Precious" Jones, Precious
Meryl Streep, Julia Child, Julie & Julia
Natalie Portman, Nina Sayers, Black Swan
Annette Bening, Nicole Allgood, The Kids Are All Right
Nicole Kidman, Becca Corbett, Rabbit Hole
Jennifer Lawrence, Ree Dolly, Winter's Bone
Michelle Williams, Cindy Heller, Blue Valentine
Meryl Streep, Margaret Thatcher, The Iron Lady
Glenn Close, Albert Nobbs, Albert Nobbs
Viola Davis, Aibileen Clark, The Help
Rooney Mara, Lisbeth Salander, The Girl with the Dragon Tattoo
Michelle Williams, Marilyn Monroe, My Week with Marilyn
Jennifer Lawrence, Tiffany Maxwell, Silver Linings Playbook
Jessica Chastain, Maya, Zero Dark Thirty
Emmanuelle Riva, Anne Laurent, Amour
Quvenzhana Wallis, Hushpuppy, Beasts of the Southern Wild
Naomi Watts, Maria Bennett, The Impossible
Cate Blanchett, Jeanette "Jasmine" Francis, Blue Jasmine
Amy Adams, Sydney Prosser, American Hustle
Sandra Bullock, Ryan Stone, Gravity
Judi Dench, Philomena Lee, Philomena
Meryl Streep, Violet Weston, August: Osage County
Julianne Moore, Alice Howland, Still Alice
Marion Cotillard, Sandra Bya, Two Days, One Night
Felicity Jones, Jane Hawking, The Theory of Everything
Rosamund Pike, Amy Elliott-Dunne, Gone Girl
Reese Witherspoon, Cheryl Strayed, Wild
Brie Larson, Joy Newsome, Room
Cate Blanchett, Carol Aird, Carol
Jennifer Lawrence, Joy Mangano, Joy
Charlotte Rampling, Kate Mercer, 45 Years
Saoirse Ronan, Eilis Lacey, Brooklyn
Emma Stone, Mia Dolan, La La Land
Isabelle Huppert, Michèle Leblanc, Elle
Ruth Negga, Mildred Loving, Loving
Natalie Portman, Jackie Kennedy, Jackie
Meryl Streep, Florence Foster Jenkins, Florence Foster Jenkins
Frances McDormand, Mildred Hayes, Three Billboards Outside Ebbing, Missouri
Sally Hawkins, Elisa Esposito, The Shape of Water
Margot Robbie, Tonya Harding, I, Tonya
Saoirse Ronan, Christine "Lady Bird" McPherson, Lady Bird
Meryl Streep, Katharine Graham, The Post
